title,price,rating,availability
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four,In stock
Why Not Me?,17.76,One,In stock
Roller Girl,14.1,Five,In stock
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,Three,In stock
History of Beauty,10.29,Four,In stock
Brilliant Beacons: A History of the American Lighthouse,11.45,Three,In stock
Brazen: The Courage to Find the You That's Been Hiding,19.22,Two,In stock
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,Three,In stock
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,Three,In stock
The Origin of Species,10.01,Four,In stock
The Glass Castle,16.24,One,In stock
The Constant Princess (The Tudor Court #1),16.62,Three,In stock
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,Five,In stock
Life of Pi,13.22,Four,In stock
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,One,In stock
Every Heart a Doorway (Every Heart A Doorway #1),12.16,Five,In stock
Counted With the Stars (Out from Egypt #1),17.97,Five,In stock
The Hobbit (Middle-Earth Universe),17.8,Five,In stock
The Golden Compass (His Dark Materials #1),18.77,One,In stock
The Girl You Left Behind (The Girl You Left Behind #1),15.79,One,In stock
The Fellowship of the Ring (The Lord of the Rings #1),10.27,Two,In stock
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,Five,In stock
Pride and Prejudice,19.27,Four,In stock
Me Before You (Me Before You #1),19.02,One,In stock
Give It Back,18.32,Two,In stock
Two Summers,14.64,One,In stock
The Secret Garden,15.08,Four,In stock
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,Five,In stock
The Grand Design,13.76,Three,In stock
The Darkest Corners,11.33,Five,In stock
The 5th Wave (The 5th Wave #1),11.83,Two,In stock
Shiver (The Wolves of Mercy Falls #1),16.23,Five,In stock
Remember Me?,11.48,Three,In stock
Peak: Secrets from the New Science of Expertise,16.28,Two,In stock
Logan Kade (Fallen Crest High #5.5),13.12,Two,In stock
Kill the Boy Band,15.52,Five,In stock
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,One,In stock
Fool Me Once,16.96,One,In stock
Booked,17.49,Five,In stock
An Abundance of Katherines,10.0,Five,In stock
A Feast for Crows (A Song of Ice and Fire #4),17.21,Four,In stock
A Clash of Kings (A Song of Ice and Fire #2),10.79,Three,In stock
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Two,In stock
The Gunning of America: Business and the Making of American Gun Culture,16.81,Four,In stock
Some Women,13.73,Five,In stock
Outlander (Outlander #1),19.67,Five,In stock
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,Three,In stock
Night Shift (Night Shift #1-20),12.75,Four,In stock
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,Three,In stock
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,One,In stock
Dark Lover (Black Dagger Brotherhood #1),12.87,One,In stock
Changing the Game (Play by Play #2),13.38,Three,In stock
Wuthering Heights,17.73,Three,In stock
"Where'd You Go, Bernadette",18.13,One,In stock
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,Two,In stock
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Three,In stock
The Travelers,15.77,One,In stock
The Tipping Point: How Little Things Can Make a Big Difference,10.02,Two,In stock
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,One,In stock
The Purest Hook (Second Circle Tattoos #3),12.25,One,In stock
The Guns of August,14.54,Two,In stock
The Giver (The Giver Quartet #1),12.3,One,In stock
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,Four,In stock
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,In stock
The Cat in the Hat (Beginner Books B-1),16.26,Two,In stock
Scarlet (The Lunar Chronicles #2),14.57,Four,In stock
Running with Scissors,12.91,Four,In stock
Reservations for Two,11.1,Three,In stock
Ready Player One,19.07,Four,In stock
Outliers: The Story of Success,14.16,One,In stock
Night (The Night Trilogy #1),13.51,One,In stock
Lust & Wonder,11.87,Two,In stock
Lila (Gilead #3),12.47,Three,In stock
I've Got Your Number,19.69,One,In stock
Green Eggs and Ham (Beginner Books B-16),10.79,Four,In stock
Fifty Shades Freed (Fifty Shades #3),15.36,Five,In stock
Eclipse (Twilight #3),18.74,One,In stock
Disrupted: My Misadventure in the Start-Up Bubble,15.28,Five,In stock
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,One,In stock
Counting Thyme,10.62,One,In stock
Are We There Yet?,10.66,Three,In stock
A Visit from the Goon Squad,14.08,Five,In stock
"The Suffragettes (Little Black Classics, #96)",11.89,Two,In stock
The Course of Love,16.78,Three,In stock
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Three,In stock
New Moon (Twilight #2),12.86,Four,In stock
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Five,In stock
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Four,In stock
"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,One,In stock
The Zombie Room,19.69,Five,In stock
The Silent Wife,12.34,Five,In stock
The Iliad,16.16,One,In stock
The Girl You Lost,12.29,Five,In stock
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,In stock
The End of the Jesus Era (An Investigation #1),14.4,One,In stock
The Edge of Reason (Bridget Jones #2),19.18,Four,In stock
The Complete Maus (Maus #1-2),10.64,Three,In stock
The Communist Manifesto,14.76,Three,In stock
Taking Shots (Assassins #1),18.88,Two,In stock
Sister Sable (The Mad Queen #1),13.33,Three,In stock
A Spy's Devotion (The Regency Spies of London #1),16.97,Five,In stock
